IPS 1,IPS 2,IPS 3,IPS 4,IPS 5,IPS 6,IPS 7,IPS 8,IPK,JENIS KELAMIN,STATUS MAHASISWA,STATUS NIKAH,STATUS KELULUSAN,RATA_RATA_IPS,TREND_IPS,JENIS KELAMIN_ENCODED,STATUS MAHASISWA_ENCODED,STATUS NIKAH_ENCODED,STATUS KELULUSAN_ENCODED
-0.22807281005365715,-0.026010637445480853,0.5074116288065897,0.5980966882091316,0.3330427800644184,0.19347699532927273,0.6586853310594722,-0.9078559752870059,0.2974607745057564,PEREMPUAN,BEKERJA,BELUM MENIKAH,TERLAMBAT,2.6174999999999997,0.27,1,0,0,1
0.3535224465339675,1.0294531304171723,0.4056069663832453,0.5518357402843848,0.09714303490064774,0.39839125929903363,0.9492274825895939,-0.9078559752870059,0.5147203922488895,PEREMPUAN,MAHASISWA,BELUM MENIKAH,TERLAMBAT,2.7249999999999996,0.25,1,1,0,1
1.5651792310915178,1.0294531304171723,1.3557838156677926,0.7831404799081203,1.2597917789220878,1.3283867650079497,1.583137631382586,-0.9078559752870059,1.3185809778984814,PEREMPUAN,BEKERJA,BELUM MENIKAH,TERLAMBAT,3.09625,0.22999999999999998,1,0,0,1
0.7654857532835345,1.2616551593469567,1.2030768220327757,0.8910826917325301,1.175541869935027,1.1865230437981147,1.2265631726865278,-0.9078559752870059,1.036143474832409,PEREMPUAN,MAHASISWA,BELUM MENIKAH,TERLAMBAT,3.015,0.29000000000000004,1,1,0,1
0.11119108962245726,0.16397284076979737,0.6770860661788297,0.10464657701182901,0.3330427800644184,0.19347699532927273,0.7247176382254094,-0.9078559752870059,0.34091269805438307,PEREMPUAN,BEKERJA,BELUM MENIKAH,TERLAMBAT,2.625,0.18000000000000016,1,0,0,1
0.23235676807821293,0.016207913269025313,0.3207697476971245,0.4901544763847218,-0.003956855883825399,0.4456791663689789,0.9228145597232192,-0.9078559752870059,0.2974607745057564,LAKI - LAKI,BEKERJA,BELUM MENIKAH,TERLAMBAT,2.64125,0.2799999999999998,0,0,0,1
-0.22807281005365715,0.691704724701124,-0.510634995426854,0.25884973676098627,0.7542923249997228,0.7136439730986663,1.0152597897555304,1.447749357952613,0.2757348127314436,PEREMPUAN,MAHASISWA,BELUM MENIKAH,TEPAT,3.07625,0.54,1,1,0,0
-0.5673367097297705,0.16397284076979737,-0.985723420069128,-0.4350644821102211,-0.475756346211366,-0.027199904330470176,0.685098253925847,0.8766935195914933,-0.05015461388325551,PEREMPUAN,MAHASISWA,BELUM MENIKAH,TEPAT,2.6550000000000002,0.4299999999999997,1,1,0,0
1.8075105880030282,1.5360757389912465,1.0503698283977594,0.9373436396572776,1.242941797124676,1.2653362222480233,0.8171628682577204,-0.9078559752870059,1.014417513058095,PEREMPUAN,BEKERJA,MENIKAH,TERLAMBAT,3.05,-0.4500000000000002,1,0,1,1
-0.34923848850941175,-0.5537425213768075,-1.918932825616451,-1.036456805131934,-1.43620530866386,-1.1778723096991286,-0.9921223480889443,-0.765092015696726,-1.592697899859499,PEREMPUAN,BEKERJA,BELUM MENIKAH,TERLAMBAT,1.8975,-0.9299999999999999,1,0,0,1
0.692786346210082,1.3672015361332217,0.8467605035510705,0.9990249035569405,0.8216922521893716,0.42991653067899693,1.6887893228480848,1.947423216518593,1.1013213601553484,PEREMPUAN,BEKERJA,BELUM MENIKAH,TERLAMBAT,3.4575,0.6699999999999999,1,0,0,1
-0.44617103127401586,-1.081474405308134,-2.258281700360932,-2.069617975451287,-2.025954671573286,-1.8871909157483013,-1.8505423412461213,-0.23686536521269025,-1.1581786643732337,PEREMPUAN,BEKERJA,BELUM MENIKAH,TERLAMBAT,1.6637499999999998,-1.54,1,0,0,1
-0.6885023881855261,0.016207913269025313,-1.1893327449158162,-0.5121660619847994,-1.1497556181078528,-0.7207558746896614,-2.0222263398775566,0.1057681378039816,-1.0495488555016668,PEREMPUAN,BEKERJA,BELUM MENIKAH,TERLAMBAT,2.1224999999999996,-1.5699999999999998,1,0,0,1
-0.34923848850941175,0.3961748696995808,-0.425797776740734,-0.7897317495332825,-1.0992056727156168,0.7294066087886476,-0.0412571248994562,-0.9078559752870059,-0.788837314209908,PEREMPUAN,BEKERJA,BELUM MENIKAH,TERLAMBAT,2.3249999999999997,-0.20999999999999996,1,0,0,1
0.9351177031215923,1.1983273332751971,0.9146302784999668,0.7985607958830357,1.3103417243143247,0.9027956013784459,1.0812920969214674,1.483440347850183,1.1230473219296622,PEREMPUAN,MAHASISWA,BELUM MENIKAH,TERLAMBAT,3.38375,0.10999999999999988,1,1,0,1
0.01425854685785314,0.10064501469803765,-0.7651466514852148,-1.4219647045048265,0.686892397810074,0.4141538949890156,0.5926530238935358,0.5197836206157935,0.232282889182817,LAKI - LAKI,MAHASISWA,BELUM MENIKAH,TERLAMBAT,2.6675000000000004,0.1200000000000001,0,1,0,1
-0.34923848850941175,0.9661253043454137,-0.6124396578501984,0.8910826917325301,0.7542923249997228,0.6348307946487578,0.8171628682577204,0.5197836206157935,0.5581723157975161,PEREMPUAN,MAHASISWA,BELUM MENIKAH,TERLAMBAT,2.9425,0.43999999999999995,1,1,0,1
-0.44617103127401586,-1.292567158880664,-2.461891025207621,0.3359513166355646,0.6531924342152496,0.3195780808491258,1.0548791740550927,-0.9078559752870059,0.03674923321399772,LAKI - LAKI,BEKERJA,BELUM MENIKAH,TERLAMBAT,2.3625,0.6600000000000001,0,0,0,1
